"Time","미세먼지"
"2023-12-01",34
"2024-01-01",28
"2024-02-01",28
"2024-03-01",52
"2024-04-01",73
"2024-05-01",32
"2024-06-01",22
"2024-07-01",12
"2024-08-01",11
"2024-09-01",11
"2024-10-01",16
"2024-11-01",16
"2024-12-01",15
"2025-01-01",49
"2025-02-01",25
"2025-03-01",100
"2025-04-01",36
"2025-05-01",25
"2025-06-01",21
"2025-07-01",14
"2025-08-01",12
"2025-09-01",16
"2025-10-01",15
"2025-11-01",32
"2025-12-01",25
